Year,,TX.VAL.TECH.MF.ZS,TT.PRI.MRCH.XD.WD,TG.VAL.TOTL.GD.ZS,SP.POP.TOTL,SP.POP.GROW,SP.DYN.TFRT.IN,SP.DYN.LE00.IN,SP.DYN.IMRT.IN,SP.DYN.CONU.ZS,SP.ADO.TFRT,SM.POP.NETM,SL.UEM.TOTL.ZS,SI.POV.NAHC,SI.POV.GINI,SI.POV.DDAY,SI.DST.FRST.20,SH.STA.MALN.ZS,SH.STA.BRTC.ZS,SH.IMM.MEAS,SH.DYN.MORT,SH.DYN.AIDS.ZS,SE.XPD.TOTL.GD.ZS,SE.SEC.ENRR,SE.PRM.ENRR,SE.PRM.CMPT.ZS,SE.ENR.PRSC.FM.ZS,SE.ADT.LITR.ZS,NY.GNP.PCAP.PP.CD,NY.GNP.PCAP.CD,NY.GNP.MKTP.PP.CD,NY.GNP.ATLS.CD,NY.GDP.PCAP.PP.CD,NY.GDP.PCAP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.DEFL.KD.ZG,NV.IND.TOTL.ZS,NV.AGR.TOTL.ZS,NE.IMP.GNFS.ZS,NE.GDI.TOTL.ZS,NE.EXP.GNFS.ZS,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,IC.REG.DURS,IC.BUS.EASE.XQ,GC.REV.XGRT.GD.ZS,GC.DOD.TOTL.GD.ZS,GB.XPD.RSDV.GD.ZS,FP.CPI.TOTL.ZG,ER.H2O.FWTL.ZS,EN.ATM.CO2E.PC,EG.USE.PCAP.KG.OE,EG.USE.ELEC.KH.PC,DT.TDS.DECT.EX.ZS,DT.ODA.ODAT.CD,DT.DOD.DECT.CD,CM.MKT.LCAP.GD.ZS,BX.TRF.PWKR.CD.DT,BX.KLT.DINV.CD.WD,AG.SRF.TOTL.K2,AG.LND.FRST.K2,AG.LND.AGRI.ZS
1960,1960-01-01,,,,32670048,,6.348,59.039,,,19.0252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0.181946687,,,,191850006.1,,,,,,,
1961,1961-01-01,,,,33666111,3.003302824,6.392,59.72,,,19.1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183098874,,,,167110000.6,,,,,331690,,19.33085502
1962,1962-01-01,,,,34683410,2.976975156,6.425,60.387,,,19.332,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217693502,,,,176029998.8,,,,,331690,,19.34621647
1963,1963-01-01,,,,35721213,2.948323935,6.448,61.02,,,19.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196997034,,,,226669998.2,,,,,331690,,19.36157793
1964,1964-01-01,,,,36780001,2.920953237,6.464,61.581,56.8,,19.388,,,,,,,,,,86.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20987044,,,,244990005.5,,,,,331690,,19.37693938
1965,1965-01-01,,,,37858947,2.891308603,6.475,61.963,56.4,,19.416,,,,,,,,,,85.6,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0.217933954,,,,314149993.9,,,,,331690,,19.39230084
1966,1966-01-01,,,,38958046,2.861799111,6.485,62.037,56,,19.444,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225433919,,,,516580017.1,,,,,331690,,19.40766229
1967,1967-01-01,,,,40072951,2.821624454,6.493,61.767,55.6,,19.472,0,,,,,,,,,84.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195461323,,,,460600006.1,,,,,331690,,19.48446957
1968,1968-01-01,,,,41193588,2.758104512,6.494,61.186,55.3,,19.3898,,,,,,,,,,83.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203763824,,,,449600006.1,,,,,331690,,19.56127684
1969,1969-01-01,,,,42307149,2.667346569,6.487,60.383,54.8,,19.3076,,,,,,,,,,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201174203,,,,464359985.4,,,,,331690,,19.60736121
1970,1970-01-01,,,,43404802,2.561400128,6.465,59.563,54.4,,19.2254,,,,,,,,,,82.1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0.649679959,,,,435809997.6,,,,70000,331690,,19.71489139
1971,1971-01-01,,,,44484032,2.456021317,6.421,58.98,53.9,,19.1432,,,,,,,,,,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.551401523,297.2383439,40.32907808,,464179992.7,,,,1820000,331690,,19.73025285
1972,1972-01-01,,,,45548476,2.364687209,6.35,58.826,53.3,,19.061,0,,,,,,,,,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506231998,292.9831505,37.67414743,,574700012.2,,,,-890000,331690,,19.80706012
1973,1973-01-01,,,,46603522,2.289895227,6.251,59.203,52.7,,19.0126,,,,,,,,,,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538520415,299.4675166,39.33179128,,477299987.8,,,,1030000,331690,,19.91459031
1974,1974-01-01,,,,47657554,2.236503082,6.125,60.112,52,,18.9642,,,,,,,,,,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.400420634,274.606309,33.88759734,,705380004.9,,,,1250000,331690,,19.99139759
1975,1975-01-01,,,,48718190,2.201132315,5.973,61.446,51.2,,18.9158,,,,,,,,,,76.6,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0.447477934,285.463992,38.87664956,,387190002.4,,,,4090000,331690,,20.00675904
1976,1976-01-01,,,,49785278,2.166684619,5.8,63.01,50.4,,18.8674,,,,,,,,,,75.1,,,35.89334106,109.9609909,,1.020290017,,,,,,,,,,,,,,,,,0,,,,,,,,0.279673019,250.7370552,46.3189138,,233369995.1,,,,-340000,331690,,20.65194015
1977,1977-01-01,,,,50861166,2.138036757,5.614,64.547,49.4,,18.819,-858895,,,,,,,,,73.4,,,37.75392914,113.0968018,,1.01394999,,,,,,,,,,,,,,,,,0,,,,,,,,0.300361223,255.0017827,53.2626405,,295950012.2,,,,-10000,329570,,20.92844634
1978,1978-01-01,,,,51959021,2.13556648,5.423,65.859,48.5,,19.3076,,,,,,,,,,71.7,,,,112.1842575,,,,,,,,,,,,,,,,,,,0,,,,,,,,0.296767235,256.0843669,54.04258868,,417049987.8,,,,463333.3333,329570,,21.00218133
1979,1979-01-01,,,,53095406,2.163505829,5.232,66.865,47.5,,19.7962,,,,,,,,,,70.1,,,,103.8526535,81.48097992,,83.82594299,,,,,,,,,,,,,,,,0,,,,,,,,0.306645739,259.2335766,52.88593141,,379609985.4,,,,-60000,331610,,21.0451934
1980,1980-01-01,,,,54281841,2.209934262,5.046,67.542,46.6,,20.2848,,,,,,,,,,68.5,,,43.45309067,110.0554504,,,,,,,,,,,,,,,,,,,0,,,,,,,,0.30987396,265.1316856,53.97753551,,270089996.3,,,,1666666.667,331690,,21.06977173
1981,1981-01-01,,,,55522804,2.260406813,4.865,67.942,45.7,20,20.7734,,,,,,,,,,66.9,,,,107.6304169,,,,,,,,,,,,,,,,,,,0,,,,,,,,0.319261217,262.4927949,54.32002317,,270049987.8,25579000,,,17910000,331690,,21.12507297
1982,1982-01-01,,,,56814309,2.299439377,4.691,68.203,44.9,,21.262,-327564,,,,,,,,1,65.4,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,11.35893155,0.323557064,265.7819001,56.71106552,,248000000,42766000,,,13050000,331690,,21.14965129
1983,1983-01-01,,,,58148384,2.320987537,4.521,68.439,44.2,,22.3484,,,,,,,,,3,64.1,,,,104.5800934,,,,,,,,,,,,,,,,,,,0,,,,,,,,0.332214839,268.0605879,56.06346687,,149210006.7,52564000,,,131111.1111,331690,,21.20495253
